barcode,sample_label
barcode01,pos
barcode02,G_10_B
barcode03,D_27.5_B
barcode04,G_36_B
barcode05,CT_24.7_B
barcode06,H_204B_A
barcode07,D_6_C
barcode08,CT_24.7_E
barcode09,H_204C_C
barcode10,D_44.2_E
barcode11,S_4_B
barcode12,D_27.5_D
barcode13,neg
barcode14,G_66_D
barcode15,D_27.5_C
barcode16,CT_24.7_A
barcode17,G_36_A
barcode18,L_108B_B
barcode19,H_204A_C
barcode20,G_36_D
barcode21,CT_24.8_E
barcode22,D_44.2_D
barcode23,D_20.2_C
barcode24,H_204B_E
barcode25,D_6_A
barcode26,G_10_A
barcode27,D_6_D
barcode28,G_18_C
barcode29, G_66_C
barcode30,S_16.2_B
barcode31,CT_24.8_A
barcode32,H_204B_C
barcode33,L_108B_D
barcode34,S_4_C
barcode35,S_10.2_B
barcode36,H_204B_B
barcode37,D_6_E
barcode38,G_66_B
barcode39,G_66_E
barcode40,L_108B_C
barcode41,CT_24.8_D
barcode42,L_108B_E
barcode43,CT_24.7_D
barcode44,H_204A_B
barcode45,G_10_C
barcode46,S_10.2_E
barcode47,D_44.2_C
barcode48,CT_27.1_E
barcode49,G_54_C
barcode50,G_54_A
barcode51,G_65_B
barcode52,G_18_A
barcode53,G_36_C
barcode54,L_108B_A
barcode55,CT_24.8_C
barcode56,S_16.2_B
barcode57,H_204C_D
barcode58,D_44.2_B
barcode59,D_44.2_A
barcode60,S_10.2_A
barcode61,G_65_C
barcode62,G_54_E
barcode63,G_65_D
barcode64,G_18_B
barcode65,CT_24.8_B
barcode66,CT_27.1_C
barcode67,G_66_A
barcode68,H_204A_E
barcode69,CT_27.1_B
barcode70,S_4_D
barcode71,D_20.2_D
barcode72,D_20.2_E
barcode73,D_6_B
barcode74,G_54_B
barcode75,G_10_E
barcode76,G_36_E
barcode77,CT_24.7_C
barcode78,H_204B_D
barcode79,H_204A_A
barcode80,H_204C_A
barcode81,G_18_E
barcode82,S_10.2_C
barcode83,S_4_E
barcode84,D_20.2_A
barcode85,G_65_A
barcode86,G_54_D
barcode87,G_10_D
barcode88,G_18_D
barcode89,CT_27.1_A
barcode90,H_204A_D
barcode91,H_204C_E
barcode92,D_27.5_A
barcode93,CT_27.1_D
barcode94,S_10.2_D
barcode95,D_20.2_B
barcode96,S_4_A